kkk_name,kkk_description,sophistication,time_horizon,brokers,start_date,currency,net_asset_value,latest_period_returns_lifetime
PARTICIPATE IN MARKETS,"An entry level investment strategy which auto selects a basket of the best performing mutual funds, both Equity and Debt. The selection is done using kkk's proprietary algorithm. This strategy allows passive investment, eliminating the need for continuous market tracking and involvement. 
</br></br>
Focus is on maximizing risk weighted returns not just absolute returns. The investor in addition gets the benefit of diversification across different mutual funds and sectors. Please see chart for a comparative returns and risk matrix. Presently the fund will be investing in 15% Debt, 40% Small and medium cap funds and remaining in large cap funds. Rebalancing will happen every quarter. We recommend a 2-5 year hold horizon for this strategy.
</br></br>
This strategy is ideal for individuals who want to pick the best performing mutual funds. The individuals however don't want to concentrate the holdings across one or two funds. Since the best performers change from time to time, they also want to auto re-balance their holdings. Lastly they want risks to be tightly managed and would prefer diversifying the holdings across debt and equity. This product would have better risk-reward ratio, (Sharpe ratios of top 30 funds vs Sharpe ration of kkk) and lower volatility as measure by standard deviation. ( std of top 30 funds vs Std of kkk). Passive investors looking for reasonably high returns with managed risks would find this product suitable. The product is oriented towards growth not asset preservation and individuals who want downside protection or have a very long term hold period where equities might go through long downward cycles should go the option with the SAFE feature.",1,TWO_TO_FIVE,"[39, 511]",2017-07-04 07:20:13.246968,INR,58672.8753,0.151566846371977
PERMANENT PORTFOLIO (INDIA),"Fail-Safe Investing: Lifelong Financial Security in 30 Minutes is a personal finance book written by American investment analyst and politician Harry Browne and published in September 1999.
</br></br>
The book outlines ""17 simple rules of financial safety"" and provides detailed commentary on their explanation and implementation. The chapter for Rule #11 is called ""Build a Bullet Proof Portfolio for Protection"" and makes a case for a diversified investment portfolio of stocks, bonds, cash and gold to ensure financial safety. According to the author this type of portfolio has the goal of assuring ""that you are financially safe, no matter what the future brings"" including economic prosperity, inflation, recession or deflation. According to the book this is because some portion of the portfolio will perform favorably during each of those economic cycles.
</br></br>
The book calls this type of investment portfolio, a ""permanent portfolio"" and advocates it be re-balanced once per year so that the 25% allocation is precisely maintained for each asset class. The breakdown is as follows:</br>	
- 25% in Mutual Funds that invest in Large Cap stocks, to provide a strong return during times of prosperity. </br>
- 25% in long-term Gilt mutual funds, which do well during prosperity and during deflation (but which do poorly during other economic cycles).</br>
- 25% in cash in order to hedge against periods of “tight money” or recession. In this case, “cash” means Ultra-short term debt mutual funds.</br>
- 25% in precious metals (gold) in order to provide protection during periods of inflation. Browne recommends gold bullion coins or in this case Gold ETFs.",1,TWO_TO_FIVE,"[39, 511]",2017-07-04 11:55:53.793662,INR,53198.3166,0.0470148990141514
VMFS AUTO & ANCILLARIES PORTFOLIO,"One can never be sure now, how the Auto sector will shape up in the next 5-10-15 years with rapid changes in Technology, i.e. Electric Vehicles, Driverless Cars etc. However, few constants will remain.</br></br>
2-wheelers, Trucks, Buses and Tractors will see relatively less disruption in technology. Whatever, disruptions may happen, we are confident, the market leaders will be manage to keep up-to-date with changes in technology.</br></br>
On the Auto Components (auto ancillaries) from 2000 moving parts in conventional Automobile to just 20 moving parts in an electric vehicles, one of never sure what parts will get eliminated, thus sounding death knell for large number of auto component suppliers. However, whatever, be the shape of new generation Automobiles, 3 things will be required nevertheless, i.e. Tyres, Seats and Shock Absorbers.</br></br>
Thus, VMFS Auto and & Auto Ancillaries is Long Term Portfolio will stand the test of time with changes in Technology.",5,TWO_TO_FIVE,[39],2017-09-30 10:14:38.381,INR,108773.55,0.0874417994134472
PORTFOLIO INSURANCE - S&P 500 JUNE,"This kkk is suitable for investors who are looking to insure their portfolio against adverse market movements. This strategy protects the investor if the E-minis S&P 500 benchmark falls by about 10% and it leads to faster execution, lesser transaction costs and is good for insurance of their portfolio via kkk.ai.",4,ZERO_TO_TWO,[1],2017-11-30 06:53:04.758,USD,1110,-0.279220779220779
BEST OF LIQUID FUNDS,"An investment strategy which auto selects a basket of the best performing Liquid funds. Ideal for investors looking to get exposure in liquid mutual funds. The fund selection is done using kkk's proprietary algorithm. This strategy allows passive investment, eliminating the need for continuous market tracking and involvement. Focus is on maximizing absolute returns. 
</br></br>
The investor in addition gets the benefit of diversification across different mutual fund. Rebalancing will happen as needed. This strategy is ideal for individuals who want to pick the best performing mutual funds. The individuals however don't want to concentrate the holdings across one or two funds. Since the best performers change from time to time, we will also want to auto re-balance the holdings as needed. The product is oriented towards individuals who want to get the best liquid fund available in market. This is an ideal kkk for emergency funds and to park excess cash instead of keeping it in bank.",1,ZERO_TO_TWO,"[39, 511]",2017-10-25 10:10:46.038,INR,10181.0350728668,0.0140938973332574
US DIVERSIFIED BONDS,Issuers are picked from a set of 20 names that are regularly monitored by kkk investment managers for credit quality and valuation. Ratings may vary since the kkk may contain Senior or Subordinated bonds. Bonds are also chosen for liquidity so exit is possible within 1-2 days with minimal transaction costs.,2,TWO_TO_FIVE,[1],2017-11-01 15:15:18.525,USD,10352.53,-0.00559325159738558
DB X-TRACKERS FTSE VIETNAM UCITS ETF,db x-trackers FTSE Vietnam UCITS ETF,1,ZERO_TO_TWO,[509],2017-11-20 06:58:22.289,SGD,47.9462684,0.237062937062937
CHINA H SHARE BENCHMARK,"Equity are selected from a basket of benchmark, liquid ‘H’ Shares that are regularly monitored by kkk investment managers. Stocks are selected based on their strong fundamentals, importance in Index and ability to outperform. Divestment can be completed almost immediately with minimal transaction costs. Portfolio is expected to adjusted and re-balanced 4-6 times a year in order to capture latest trends.This is a portfolio composed of 9 benchmark stocks that replicate the HSCEI Index. It is expected to be re-balanced 4-6 times a year to focus on undervalued stock with potential to outperform the Index.",1,TWO_TO_FIVE,"[1, 509]",2017-10-30 11:58:21.315,HKD,252899.320982467,0.0711550707940864
ELSS - SIP,"This year, save upto INR 45000 in taxes!! This kkk identifies suitable funds among ELSS and allot the capital equally and invests via Systematic Investment Plan (SIP) to maximise kkk returns. This kkk has a lock-in period of 3 years which is shortest out of all the 80C investment options that let you grow your wealth and gives tax free returns. This strategy is optimized for investors who want tax saving as well capital growth via kkk.AI",1,TWO_TO_FIVE,"[39, 511]",2017-08-10 14:39:17.859,INR,2826.92037990391,0.15186919410549
PERMANENT PORTFOLIO,"Fail-Safe Investing: Lifelong Financial Security in 30 Minutes is a personal finance book written by American investment analyst and politician Harry Browne and published in September 1999.<br><br>

The book outlines ""17 simple rules of financial safety"" and provides detailed commentary on their explanation and implementation. The chapter for Rule #11 is called ""Build a Bullet Proof Portfolio for Protection"" and makes a case for a diversified investment portfolio of stocks, bonds, cash and gold to ensure financial safety. According to the author this type of portfolio has the goal of assuring ""that you are financially safe, no matter what the future brings"" including economic prosperity, inflation, recession or deflation. According to the book this is because some portion of the portfolio will perform favorably during each of those economic cycles.<br><br>

The book calls this type of investment portfolio, a ""permanent portfolio"" and advocates it be re-balanced once per year so that the 25% allocation is precisely maintained for each asset class. The breakdown is as follows:	<br>
- 25% in U.S. stocks, to provide a strong return during times of prosperity. For this portion of the portfolio, Browne recommends a basic S&P 500 index fund such as VFINX (Vanguard 500 Index) or FSMKX (Fidelity Spartan 500 Index).<br>
- 25% in long-term U.S. Treasury bonds, which do well during prosperity and during deflation (but which do poorly during other economic cycles).<br>
- 25% in cash in order to hedge against periods of “tight money” or recession. In this case, “cash” means U.S.Treasury bills.<br>
- 25% in precious metals (gold) in order to provide protection during periods of inflation. Browne recommends gold bullion coins.",3,TWO_TO_FIVE,[1],2017-03-09 10:32:24.570853,USD,12667.7411,0.0596125432828217
BEST OF FUNDS (EQUITY) WITH SAFE,"An entry level investment strategy which auto selects a basket of the best performing mutual funds, both Equity and Debt, while adding a SAFE downside protection. The fund selection is done using kkk's proprietary algorithm. 
</br></br>
The SAFE feature, is a downside put protection bought at 95pc NIFTY strike. This put compensates the investor for any fall in the general market.  (ex: If the NIFTY falls 30%, the investor gains 25% from the Put). The uniquness of this strategy lies in the fact that while absolute risk weighted returns are maximised by kkk's alogorithms, the SAFE feature dramatically reduces the downside risks to the portfolio. ( Please see chart).  The combination of optimised diversified portfolio and downside protection allows passive investment, eliminating the need for continuous market tracking and involvement. Presently the fund will be investing in 40% Small and medium cap funds and remaining in large cap funds and purchasing a NIFTY put at 95% strike. We recommend a 3-15 year hold horizon for this strategy.
</br></br>
This strategy is ideal for individuals looking for a long term endowment fund for children’s education or retirement. These individuals to are looking for double digit returns to match their investment goals. They have a bullish view on India and feel the Indian stock markets would offer them these returns. However since the investments are long term and endowment in nature, they cannot afford principal loss or long periods of negative return. Also they want the long term portfolio to be ""managed"" with auto re-balancing of their holdings. The product will afford high relative return in most market scenarios. (please see chart mapping NIFTY movement vs return of portfolio) with strong protection in case of market declines or long-term bear markets. The downside protection feature of the product also allows people to be more aggressive with their equity allocations and the total corpus they want to invest.",4,TWO_TO_FIVE,[39],2017-07-07 06:36:38.724667,INR,841881.827,0.137338630002172
ELSS kkk - PERFORMANCE OPTIMIZED,"This year, save upto INR 45000 in taxes!! This kkk identifies suitable funds among ELSS and allot the capital among assets using an algorithmic strategy to maximise kkk returns. This kkk has a lock-in period of 3 years which is shortest out of all the 80C investment options that let you grow your wealth and gives tax free returns. This strategy is optimized for investors who want tax saving as well capital growth via kkk.AI",1,TWO_TO_FIVE,"[39, 511]",2017-08-24 10:41:35.906,INR,11168.28704352,0.140198392713238
GURU MUNGER,"Charlie Munger is Berkshire Hathaways Vice Chairman and Warren Buffett's right hand man. He is credited by Buffett for being able to convince the latter that - It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.
</br></br>
kkk Advisors looks at the latest SEC filings as well as information available from the web via Munger related new items to narrow down on a top 5 to 10 stock portfolio. This portfolio is adjusted for any hedges in the form of Puts and Calls the manager has and final composition is bought within 2 months of the relevant quarter end.",4,FIVE_TO_TEN,[1],2017-05-29 01:53:12.399198,USD,3064.518,0.2258072
GROWTH FUNDS,"An investment strategy which auto selects a basket of the best performing Large Caps and Small Caps mutual funds. Ideal for investors looking to get exposure to equities. The fund selection is done using kkk's proprietary algorithm. This strategy allows passive investment, eliminating the need for continuous market tracking and involvement. 
</br></br>
Focus is on maximizing absolute returns. The investor in addition gets the benefit of diversification across different mutual funds and sectors. Rebalancing will happen every year keeping in mind tax optimization. We recommend a 2-5 year hold horizon for this strategy. 
</br></br>
This strategy is ideal for individuals who want to pick the best performing mutual funds. The individuals however don't want to concentrate the holdings across one or two funds. Since the best performers change from time to time, they also want to auto re-balance their holdings. 
</br></br>
The product is oriented towards growth not asset preservation and individuals who want downside protection or have a very long term hold period where equities might go through long downward cycles should go the option with the SAFE feature.",2,TWO_TO_FIVE,"[39, 511]",2017-07-20 14:39:35.568,INR,29094.37045,0.153816378518367
VDE,"This ETF offers broad-based exposure to the U.S. energy industry, making it a potentially useful tool for those looking to fine tune the domestic equity portion of their portfolio or perhaps pair against another sector/region in a long/short trade. VDE is one of the most competitive energy ETFs available from a cost perspective, in a similar class as XLE and FEG on the expenses front. VDE distinguishes itself from XLE in terms of exposure depth, including roughly four times the number of individual stocks. Like most energy ETFs, concentration is a big issue in VDE; a few stocks account for big chunks of the total portfolio, and large caps dominate the underlying basket. The equal-weighted RYE is one interesting alternative, as is the alpha-seeking FXN.",1,ZERO_TO_TWO,"[1, 509]",2017-10-04 11:04:50.87,SGD,142.4429698,0.119144570669265
VMFS LONG TERM ABSOLUTE RETURN,"VMFS Long Term Absolute Return Portfolio aims to Generate Steady, Sustainable & Consistent returns over medium to long term, with </br>
- Maintaining Low Volatility</br>
- Adequate Margin of Safety</br>
- The Focus is on Bottom-up Stock Picking using the Principles of Value Investing with a Buy & Hold philosophy</br></br>

Basically, follow a Disciplined Approach to managing investments, which should reflect in superior performance. This can generate returns of 25-30% p.a.",5,TWO_TO_FIVE,[39],2017-09-30 10:00:06.733,INR,969479.1,0.0888875181431288
GVM CORE ETF,"The strategy combines three pillars: Growth, Value and Momentum. It develops a heat map of the markets and sectors in the markets are identified. ETFs are selected to ensure that there is a strong exposure to the right sectors in terms of growth, value and momentum.</br></br>
- Growth: EPS growth, Sales growth and EBITDA growth estimates are used to assess forecasts of markets and sectors.</br>
- Valuation: The PE, PB and EV/EBITDA, and growth rates for the major equity markets globally and their equity sector indices are looked at for a sense of whether each market has priced in less or more growth. Technical indicators are used to confirm if PE, EV/EBITDA and PB valuations are overbought or in oversold territory.</br>
- Momentum Indicators: These are run for each country and its sectors across different time frames.</br></br>

The weight of ETFs is based on how strong their multi-year growth prospects are. ETFs are monitored for shifts in their growth prospects and momentum. ETFs are sold if they get over-valued, or their growth engines are affected or they fall out of momentum. A small amount of contrarian positions are retained.</br></br>

There is a risk algorithm that will determine if the portfolio is moved to cash and whether market shorts are to be put on. This algorithm is used to generate buy and sell signals on the major markets and overall portfolio.",4,TWO_TO_FIVE,"[1, 509]",2017-03-09 13:35:11.681384,USD,12474.46192425,0.216225679238936
BEST OF DEBT FUNDS,An investment strategy which auto selects a basket of the best performing Gilt and Dynamic bond funds. The selection is done using kkk's proprietary algorithm.,1,TWO_TO_FIVE,"[39, 511]",2017-07-20 15:32:38.919,INR,19947.61715,-0.00714930768053184
VCR,"This kkk offers targeted exposure to the U.S. consumer discretionary sector, making it a potentially useful tool for investors implementing a sector rotation strategy or seeking to tilt their portfolio towards high beta holdings. VCR could potentially have appeal to long-term buy-and-holders as well, since the discretionary sector generally receives smaller allocations in broad-based U.S. equity funds. Vanguard ETFs are generally among the most cost efficient choices in any category, but that isn't necessarily the case here; both FCL and XLY are slightly cheaper in terms of expense ratio. There are, however, no consumer discretionary ETFs that can match the depth of holdings delivered by VCR; the unique Vanguard structure allows this fund to hold close to 400 individual stocks and avoid excessive concentration in a small handful of mega cap stocks. There are a number of potential alternatives to VCR besides those ETFs mentioned above; the equal-weighted RCD is one option, while the alpha-seeking FXD and PEZ could be interesting options as well.",1,TWO_TO_FIVE,"[1, 509]",2017-10-04 10:56:31.037,SGD,221.5990336,0.127482035515752
ASIA REITS SGD,"To shortlist the constituents of this kkk, the REITs based on their market capitalization and as well as other fundamental factors. A systematic approach is then adopted in the rebalancing. The primary goal of this kkk is to provide investors with dividend income on their investments.",2,TWO_TO_FIVE,"[1, 509]",2017-10-30 09:14:48.786,SGD,11337.3245424361,0.0893941128916895
MINI MUNGER,"Charlie Munger is Berkshire Hathaways Vice Chairman and Warren Buffett's right hand man. He is credited by Buffett for being able to convince the latter that - It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price.</br></br>Mini Munger aims to emulate Charlie Munger's philosophy of identifying companies with high growth potential and a strong competitive moat.</br></br>Using long term metrics of Return on Invested Capital along with top line growth to quantify and there by emulate Charlie's evaluation technique, the Mini Munger kkk identifies the top 10 businesses to invest in. These metrics have been chosen based on extensive reading of Mungers comments in various publications and journals, including a number of books written on him.</br></br>kkk Advisors does the execution is done on a discretionary basis. The kkk is rebalanced on a regular basis.",4,FIVE_TO_TEN,[509],2017-03-23 08:08:38.599547,USD,5934.4654665,0.0217820668139659
MINI BUFFET,"Berkshire Hathaway averaged an annual growth in book value of 19.7% to its shareholders for the last 49 years (compared to 9.8% from the S&P 500 with dividends included for the same period), while employing large amounts of capital, and minimal debt.</br></br>

The company is known for its control and leadership by Warren Buffett, who is the company's Chairman of the Board, President, and Chief Executive Officer, and Charlie Munger, the company's Vice-Chairman of the Board of Directors. In the early part of Buffett's career at Berkshire, he focused on long-term investments in publicly traded companies, but more recently he has more frequently bought whole companies. Berkshire now owns a diverse range of businesses including confectionery, retail, railroad, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, newspaper publishing, manufacture and distribution of uniforms, and several regional electric and gas utilities.</br></br>

kkk Advisors looks at the latest SEC filings as well as information available from the web via Warren Buffet and Berkshire related new items to narrow down on a top 10 to 15 stock portfolio. Please note this kkk does not endeavor to replicate the private holdings and anyone looking to access those can consider buying Berkshire Hathaway stock directly. This portfolio is adjusted for any hedges in the form of Puts and Calls the manager has and final composition is bought within 2 months of the relevant quarter end.",4,FIVE_TO_TEN,[1],2017-03-14 06:08:11.346167,USD,5396.01,0.0642262087899084
BONDS - MEDIUM TERM USD,"kkk Advisors looks at the ratings vs yield and chooses bonds available in USD 1000 lots to construct this portfolio. Bonds are chosen every 6 months based on relative yield, liquidity and residual tenor to maintain 4 to 5 year average duration of the portfolio. The coupons on these bonds are typically not subject to foreign withholding tax, unlike ETF dividends; though we would advise you to check your taxation independently.",1,TWO_TO_FIVE,[1],2017-03-10 12:31:05.333679,USD,8134.43,0.0103682096883902
BONDS - LATIN AMERICA (250K),"This portfolio selects short to medium term High Yield (Aggregate Rating of BB/B) Latin American bonds. Bonds prices can be illiquid and volatile however the returns are commensurately attractive. Bonds are chosen based on liquidity, relative yield and residual tenor to maintain a 7-year average duration for the portfolio. 
</br></br>
This portfolio focuses specifically on a portfolio of 3-4 Latin American high yield bonds, typically from Brazil, Colombia, Petrobras, PEMEX, Peru & Mexico. Bonds are either sovereign or of companies in the oil industry, which is one of the key pillars of Latin America economies. 
</br></br>
kkk Advisors looks at potential stable and relative high return of these bonds with attention to relative yield, liquidity and residual tenor to maintain 7-year average duration of the portfolio",3,FIVE_TO_TEN,[1],2017-06-04 05:59:34.777632,USD,288872.45,0.0309897482417517
GURU YACKTMAN,"Donald Yacktman spent 14 years there as a portfolio manager at Stein Roe and Farnham from 1968 before moving to Vincent Chesley, where he took over Selected American Shares. While there, he grew his portfolio from $76 million to $400 million in eight years. His annual returns were exceptional and he earned “Portfolio Manager of the Year” honors from Morningstar in 1991.
</br></br>

His company, Yacktman Asset Management, employs a disciplined investment strategy, focused on buying growth companies at what believed to be low prices. This approach combines the best features of ""growth"" and ""value"" investing. He looks for companies with the following three attributes: good business, shareholder-oriented management and low purchase price.
</br></br>

kkk Advisors looks at the latest SEC filings as well as information available from the web via Yacktman and Yacktman Fund related new items to narrow down on a top 10 to 15 stock portfolio. Please note this kkk does not endeavor to replicate the private holdings. This portfolio is adjusted for any hedges in the form of Puts and Calls the manager has and final composition is bought within 2 months of the relevant quarter end.",4,FIVE_TO_TEN,[1],2017-05-29 03:26:44.652757,USD,5705.905,0.141256322917312
QUANTYR SMART GROWTH EUROPE,"This strategy is based on the fact that most companies tend to see growth as the ultimate goal for their future while what really matters for investors is profitable growth for the company.  
</br></br>
The kkk is formed by selecting stocks among the MSCI Europe Index that generates profitable growth for their shareholders.  
</br></br>
The members of the MSCI Europe Index are screened based on their ability to deliver positive Economic growth in the past as well as Free Cash Flow and EPS past and future growth.",4,TWO_TO_FIVE,[1],2017-07-18 11:00:47.873,USD,21777.107416425,0.0749013336852501
IBGM,This kkk specifically targets medium-term Euro government bonds by investing directly in them. Most of these European countries are developed markets in the Western Europe region.,1,TWO_TO_FIVE,"[1, 509]",2017-10-04 11:30:52.762,SGD,331.03303376455,-0.0113691028185203
VOX,"This kkk offers low cost, broad-based exposure to the telecom industry, making in an option for investors looking to overweight a corner of the U.S. market that can often deliver attractive dividend yields. There are, however, some potential drawbacks: a handful of mega cap companies account for a huge portion of total assets, diminishing some of the diversification benefits that may be more apparent in a fund like XTL. VOX can be a handy tool for investors implementing a sector rotation strategy or establish a value tilt, but be aware of the huge concentration in a small handful of stocks.",1,ZERO_TO_TWO,"[1, 509]",2017-10-04 11:09:01.582,SGD,122.4472889,-0.0482952789062637
QUANTYR SMART GROWTH AUSTRALIA,This strategy is based on the fact that most companies tend to see growth as the ultimate goal for their future while what really matters for investors is profitable growth for the company. The kkk is formed by selecting stocks among the MSCI Australia Index that generates profitable growth for their shareholders. The members of the MSCI Australia Index are screened based on their ability to deliver positive Economic growth in the past as well as Free Cash Flow and EPS past and future growth.,4,TWO_TO_FIVE,[1],2017-12-04 12:29:22.248,USD,20182.6760725,0.00838241003948752
